,0
book,price
20175045909,$ 16.50
30029272789,$ 3.99
30461486152,$ 3.84
30699613723,$ 5.63
19739115009,$ 10.62
30659362866,$ 3.61
30473471035,$ 10.00
30694769362,$ 4.64
22401195877,$ 20.00
22843857327,$ 3.49
30722927985,$ 3.98
30486448234,$ 5.68
30741543462,$ 3.80
30725378274,$ 1.20
30585401520,$ 29.85
30715437196,$ 4.27
30137503012,$ 21.00
30711577499,$ 4.69
1960367911,$ 1.00
30573251856,$ 15.49
30743477989,$ 5.92
30196014724,$ 19.95
30737293692,$ 4.00
30704999104,$ 3.98
4818056145,$ 5.00
30723751050,$ 6.06
30717417732,$ 6.49
30725912905,$ 21.99
30696231202,$ 51.45
30272458924,$ 41.10
30247698777,$ 5.35
1302998503,$ 15.00
30267959290,$ 37.53
2795338714,$ 6.00
21778647822,$ 2.65
30137537842,$ 34.00
30699234738,$ 3.98
13775122406,$ 25.00
1173875456,$ 1.00
30152958171,$ 5.99
30749579524,$ 25.00
30723005572,NULL
59774732,$ 15.00
30137481206,$ 7.00
30549198023,$ 16.25
30361293933,$ 5.95
30367742933,$ 3.61
30711004495,$ 2.59
21815712871,$ 3.98
10809012555,$ 7.00
20255302976,$ 11.00
19176555837,$ 18.14
11484784088,$ 15.00
30408501711,$ 5.99
30665138860,$ 7.95
30537882309,$ 5.00
11230005921,$ 14.75
30641107562,$ 4.19
30612308762,$ 3.80
1332186599,$ 7.00
30219324066,$ 3.80
30240773316,$ 5.00
2808967626,$ 1.50
16601861016,$ 3.98
30627202852,$ 30.59
30449762981,$ 4.00
8287033199,$ 4.00
30698862500,$ 3.98
30443549242,$ 6.19
30317299379,$ 13.31
30220749798,$ 8.00
30081841788,$ 5.96
30211999832,$ 6.55
30380185734,$ 20.00
22786083983,$ 9.09
30268660201,$ 43.16
30728311263,$ 3.25
30738770497,$ 4.00
21303620300,$ 7.95
30574893008,$ 4.71
30137478272,$ 7.00
30724605991,$ 30.00
30697482032,$ 22.68
30423330766,$ 11.66
30455054143,$ 4.19
1189096663,$ 1.99
30709623518,$ 6.35
17696362080,$ 9.95
30747905988,NULL
30739507889,$ 5.09
30623672915,$ 15.05
30107584278,$ 6.22
30695379950,$ 24.45
30693780549,$ 3.95
30666029271,$ 3.60
9841085388,$ 19.90
22870036444,$ 8.99
30037646311,NULL
30734796063,$ 3.79
30699617283,$ 3.69
30739366106,$ 5.17
10143453335,$ 10.00
30388205260,$ 30.00
20786306689,$ 5.46
22655464749,$ 4.95
30265140479,$ 42.57
30697976951,$ 9.95
30740102781,$ 4.00
30037829003,$ 16.94
30310719495,$ 3.50
30610906983,$ 12.77
17113280935,$ 5.52
30737755197,$ 5.11
22413833850,$ 24.00
30740302761,$ 4.70
30512664529,$ 24.85
18881098334,$ 6.49
30741076802,$ 5.41
30610813171,$ 9.97
30297674658,$ 3.51
14461306502,$ 5.27
30264707718,$ 29.48
30265656701,$ 38.42
30137568612,$ 14.00
18354419443,$ 7.00
30564861907,$ 3.80
69200906,$ 7.50
887444363,$ 24.00
22446180899,$ 5.00
30687840922,NULL
22665761599,$ 5.50
30503773406,$ 3.34
14387395892,$ 5.15
30575183071,$ 4.55
14760079735,$ 1.88
30128892406,$ 5.50
9129035422,$ 35.18
1167839056,$ 6.00
30268990770,$ 22.64
30616155790,$ 6.39
30271300060,$ 42.87
30718318090,$ 3.61
1276326196,$ 1.85
30663647828,$ 4.54
11672098347,$ 25.00
30138198842,$ 4.19
733629620,$ 5.00
22832680654,$ 2.99
30081968584,$ 6.48
30508728017,$ 19.13
30592961305,$ 10.49
22505002886,$ 4.48
22864299824,$ 3.99
20901949556,$ 2.50
30223640558,$ 7.95
30737477296,$ 4.38
4438884576,$ 5.76
22903503869,$ 18.14
30560226658,$ 3.99
30265656702,$ 34.85
30716039028,$ 4.53
30608064210,$ 14.27
30526715675,$ 5.00
30697725272,$ 4.19
22920435840,$ 10.00
18059780116,$ 11.21
30467346924,$ 5.91
30429627216,$ 5.99
30519370763,$ 6.50
30739093721,$ 4.98
30137524497,$ 33.00
30720535119,$ 5.29
30695691023,$ 4.26
30492338849,$ 16.39
2668030251,$ 14.00
9393539241,$ 8.95
30635726921,$ 1.00
30536795653,$ 11.06
13242169842,$ 11.60
