book,publisher
30532009766,"Doubleday & Co Pub 1948 tp & verso, NY"
30740925296,
22859119226,"Popular Library, New York"
30435374169,
30697302406,Oxford University Press
30646187673,Ace
30626768990,Ecco
30716996565,Wordsworth Editions Ltd
30509889426,"Scott, Foresman"
21050369474,Thomas Nelson
40813675,Daw
30415047848,"Facts On File, Incorporated"
30637735652,Random House
30745968139,
30509620097,Dell
30231736183,Ace
30357780594,DAW
30043939509,"Garden City Publishing Company, Inc."
30523278020,
633199459,LE MASQUE
30577492549,Thomas Nelson Publishers
30137500277,
30749640801,"Simon & Schuster, Incorporated"
30690843618,Gardners Books
30698085470,Ballantine
30728851749,Ace
30709066755,Heritage Press
9393539240,Dell
30688895014,Signet
14871608608,"Berkley Publishing Corporation, New York"
30435106493,Belmont Tower Books
30739086975,
17764494169,Steiner Books
5064367118,Daw Books
25847721,"w/intro essay by Dudley Fitts., The Heritage Press, nd, c1958,"
20175045909,"David McKay, Publisher"
30029272789,Troll Communications Llc
30461486152,SparkNotes
30699613723,"Anchor, 1959"
19739115009,"Dent, London"
30659362866,Mariner Books
30473471035,"Little, Brown, Boston"
30694769362,Cosimo
22401195877,"The Limited Editions Club, NEW YORK"
22843857327,Time-Life Books
30722927985,Barnes & Noble Books
30486448234,"Nelson Doubleday, Inc."
30741543462,Barnes & Noble Classics
30725378274,
30585401520,Ace
30715437196,Signet Classics
30137503012,health knowledge
30711577499,Dover
1960367911,
30573251856,
30743477989,
30196014724,"Prentice-Hall, Inc, Englewood Cliffs, NJ"
30737293692,
30704999104,Modern Library
4818056145,"Better Publications of Canada, Ltd, Toronto, ON"
30723751050,presse pocket
30717417732,Pocket Books
30725912905,
30696231202,LIGHTNING SOURCE UK LTD
30272458924,
30247698777,
1302998503,Gramercy : NY
30267959290,
2795338714,Ace
21778647822,Ace
30137537842,standard magazines
30699234738,Harcourt
13775122406,MYCROFT & MORAN
1173875456,Penguin Books - London
30152958171,Grand Central Publishing
30749579524,"New York: Duell, Sloan & Pearce, (1961)."
30723005572,Penguin Classics
59774732,"Candlelight Press, NY"
30137481206,dell
30549198023,
30361293933,Pinnacle
30367742933,Barnes & Noble Classics
30711004495,Ballantine
21815712871,Goldmann
10809012555,"New York: Tudor Publishing, nd"
20255302976,"New York: DAW Books, (1978)"
19176555837,Causeway Books
11484784088,Dover
30408501711,Avenel Books by Random House
30665138860,"DAW Books, New York"
