,0
book,JacketCondition
30039436343,NULL
22911197335,NULL
22779211894,NULL
30575018073,NULL
30526691629,NULL
30442763596,NULL
30620485677,NULL
30613137426,NULL
30188161483,NULL
22861084424,NULL
11910834803,NULL
12536331687,NULL
22420041423,NULL
30558273241,NULL
30601363494,NULL
30552218087,NULL
30687572705,NULL
30318981216,NULL
30620972900,NULL
30128864028,NULL
30745079766,NULL
30694786930,NULL
1368818196,NULL
30665007865,NULL
1945207096,NULL
1945206488,NULL
30011566478,NULL
22427892967,NULL
14782003164,NULL
11027458707,NULL
18871605575,NULL
30585401520,NULL
1005238428,NULL
30551324253,NULL
30551329046,NULL
30551329919,NULL
30551327218,NULL
30551321659,NULL
30551321660,NULL
30551320876,NULL
30551329047,NULL
30551329044,NULL
30551329925,NULL
30551321661,NULL
30602604063,NULL
30551329043,NULL
30551327219,NULL
30551328085,NULL
30551328084,NULL
30551327217,NULL
30551323573,NULL
30551327231,NULL
98716627,NULL
94519855,NULL
30062602515,NULL
22915442429,NULL
10456472936,NULL
22701889737,NULL
30594237582,NULL
14077375656,NULL
22701889744,NULL
30740422204,NULL
30594229749,NULL
30280612615,NULL
30740419510,NULL
22833267653,NULL
30625242266,NULL
30603045542,NULL
30606127710,NULL
152665796,NULL
17431310125,NULL
2189498640,NULL
949617917,NULL
18376791547,NULL
30619924286,NULL
19103497180,NULL
893806131,NULL
17004357783,NULL
17004357283,NULL
17004356569,NULL
17004357559,NULL
17004357342,NULL
12452887565,NULL
12453336010,NULL
12452887563,NULL
10880700868,NULL
10939742892,NULL
30310717360,NULL
30551324251,NULL
30422443815,NULL
30551324254,NULL
30405174658,NULL
30551328083,NULL
30405740130,NULL
30551327216,NULL
30551320875,NULL
30551327230,NULL
30405741036,NULL
30551320878,NULL
30505313699,NULL
30551321664,NULL
30609307526,NULL
30551323569,NULL
30694833960,NULL
14913038423,NULL
16956632895,NULL
30694829391,NULL
30566934967,NULL
30699606015,NULL
30620983909,NULL
30662194950,NULL
30620978511,NULL
30613576191,NULL
30052214111,NULL
8178753643,NULL
30380993025,NULL
30057305211,NULL
30258273083,NULL
22763476504,NULL
30062566676,NULL
30328853556,NULL
30435488834,NULL
1394920557,NULL
30051369803,NULL
12196100324,NULL
18644421843,NULL
30062567193,NULL
6129360905,NULL
9331689530,NULL
12196100323,NULL
778977190,NULL
18986741568,NULL
30062568966,NULL
22568350908,NULL
30644603954,NULL
30644604902,NULL
30692951031,NULL
19095751319,NULL
30604210482,NULL
912915344,NULL
11921901893,NULL
22308501689,NULL
30204567419,NULL
21017040943,NULL
7538934083,NULL
22742908918,NULL
30223844066,NULL
22675915127,NULL
30289790077,NULL
22675993140,NULL
30606888542,NULL
22618054214,NULL
16384871098,NULL
1409090477,NULL
22346078399,NULL
7510934887,NULL
1112938151,NULL
30645155215,NULL
30614735955,NULL
1377123325,NULL
22618049877,NULL
8234036099,NULL
19614274808,NULL
30410509355,NULL
30410507496,NULL
17004357222,NULL
1167839056,NULL
22817885441,NULL
14624563746,NULL
15060663339,NULL
7118763671,NULL
7118763684,NULL
30310720384,NULL
30315259206,NULL
30310716799,NULL
30310717455,NULL
30310713848,NULL
30315253645,NULL
308245316,NULL
30315256438,NULL
30310716800,NULL
30315259207,NULL
30315252780,NULL
30315250775,NULL
30310723028,NULL
30315254532,NULL
30315259210,NULL
30310722933,NULL
30315252782,NULL
30310719224,NULL
30315250756,NULL
