book,language
30577519075,0
30726857697,0
6289006299,0
30354314363,0
30428585060,0
30636277564,0
30473751592,0
30337423703,0
14883183609,0
98082475,0
30723122513,0
823826796,0
822212931,0
30095710798,0
30418872003,0
30632395990,0
30287631422,0
1550125451,0
24246484,0
30266962238,0
30697356726,0
18385031906,0
30305442772,0
10888942506,0
30137477279,0
30137469766,0
189472654,0
22916774504,0
22422624086,0
30662833572,0
30614776407,0
30737952910,0
11380859030,0
30694937015,0
30671520483,0
30140241473,0
30554055674,0
30615204321,0
823293040,0
30000214918,0
30362456248,0
30665742486,0
30665976502,0
22543314164,0
30699156943,0
30265372055,0
22879541801,0
30712311881,0
30015358564,0
30287592558,0
30749797369,0
30697816940,0
30570556952,0
30095683067,0
30652067418,0
30028993415,0
30359738117,0
30329763735,0
30737698817,0
30686232758,0
30425838269,0
30737743689,0
30183179393,0
30320983832,0
30137478754,0
6774804172,0
22648683565,0
22494417343,0
8246190622,0
30604786599,0
22513525406,0
5832979961,0
2795338706,0
30381402514,0
30429762138,0
998637035,0
2671035441,0
3654291430,0
30137539540,0
30137477804,0
30686147550,0
30699880571,0
30037449660,0
30407712304,0
30282570146,0
30737194530,0
30736082254,0
30648474659,0
30137491656,0
30406109942,0
30733118490,0
30053403427,0
30602634771,0
19062008056,0
30137494440,0
18458388866,0
10436241196,0
30739474960,0
30137473206,0
30739083505,0
30644172242,0
30739950352,0
30121598318,0
30575915990,0
30717116979,0
30203092696,0
30744988985,0
30310720384,0
30647132083,0
30669036419,0
30268656684,0
30704861605,0
22615210486,0
30531346651,0
607648076,0
30708361006,0
30266983201,0
30377938178,0
30699305106,0
30699458808,0
30637134911,0
30709737079,0
30309832356,0
22299303321,0
30595966061,0
30568793746,0
30740400350,0
30735397395,0
30556606540,0
30577545886,0
22769487174,0
30716428273,0
30127853508,0
30733293954,0
19095751319,0
30723439423,0
15362937128,0
30749307377,0
30415626040,0
30712018015,0
10301020323,0
30275974063,0
114761838,0
684210019,0
22420062805,0
3001480206,0
30666564546,0
30228415401,0
14407574795,0
30667604154,0
30687961273,0
30734501872,0
30733616052,0
30281998593,0
30714902240,0
30736083255,0
30736520672,0
22460401805,0
1284941630,1
30740021376,0
30324233101,0
30356009620,0
2337216202,0
30651832922,0
544738317,0
30651516898,0
22719066369,0
19016533949,0
22789582708,0
30027561735,0
30711417302,0
30137495559,0
30621293980,0
30150294488,0
30694833960,0
30230577991,0
30737438311,0
22457824068,0
21337423311,0
22552642457,0
30364452564,0
30711207118,0
7059163101,0
30571389945,0
30466178294,0
30687807982,0
30322074022,0
22665761592,0
30443444031,0
12266457281,0
30271292761,0
30685407896,0
30661431097,0
1115359369,0
30604210482,0
30742905930,0
30268484086,0
30005420507,0
30268503328,0
18670992715,0
30259804923,0
30618024753,0
30738811879,0
4800293611,0
10523283000,0
30110201905,0
11144279544,0
30582626647,0
30580093443,0
30057305211,0
1239335062,0
30737970613,0
30747390092,0
30587436982,0
30109124174,0
30575242715,0
30663351563,0
46718605,0
30599151486,0
22420041337,0
30588282465,0
30590799112,0
22299303250,0
344406900,0
11028834911,0
30591014746,0
30137492539,0
1329938320,0
30740123224,0
30694611592,0
22408985165,0
30197432915,0
30457658985,0
30652282012,0
30532009766,0
30740925296,0
22859119226,0
30435374169,1
30697302406,0
30646187673,0
30626768990,0
30716996565,0
30509889426,0
21050369474,0
40813675,0
30415047848,0
30637735652,0
30745968139,0
30509620097,0
30231736183,0
30357780594,0
30043939509,0
30523278020,0
633199459,1
30577492549,0
30137500277,0
30749640801,0
30690843618,0
30698085470,0
30728851749,0
30709066755,0
9393539240,0
30688895014,0
14871608608,0
30435106493,0
30739086975,0
17764494169,0
5064367118,0
25847721,0
20175045909,0
30029272789,0
30461486152,0
30699613723,0
19739115009,0
30659362866,0
30473471035,0
30694769362,0
22401195877,0
22843857327,0
30722927985,0
30486448234,0
30741543462,0
30725378274,0
30585401520,0
30715437196,0
30137503012,0
30711577499,0
1960367911,0
30573251856,0
30743477989,0
30196014724,0
30737293692,0
30704999104,0
4818056145,0
30723751050,0
30717417732,0
30725912905,0
30696231202,0
30272458924,0
30247698777,0
1302998503,0
30267959290,0
2795338714,0
21778647822,0
30137537842,0
30699234738,0
13775122406,0
1173875456,0
30152958171,0
30749579524,0
30723005572,0
59774732,0
30137481206,0
30549198023,0
30361293933,0
30367742933,0
30711004495,0
21815712871,0
10809012555,0
20255302976,0
19176555837,0
11484784088,0
30408501711,0
30665138860,0
30537882309,0
11230005921,0
30641107562,0
30612308762,0
1332186599,0
30219324066,0
30240773316,0
2808967626,0
16601861016,0
30627202852,0
30449762981,0
8287033199,0
30698862500,0
30443549242,0
30317299379,0
30220749798,0
30081841788,0
30211999832,0
30380185734,0
22786083983,0
30268660201,0
30728311263,0
30738770497,0
21303620300,0
30574893008,0
30137478272,0
30724605991,0
30697482032,0
30423330766,0
30455054143,0
1189096663,0
30709623518,0
17696362080,0
30747905988,0
30739507889,0
30623672915,0
30107584278,0
30695379950,0
30693780549,0
30666029271,0
9841085388,0
22870036444,0
30037646311,0
30734796063,0
30699617283,0
30739366106,0
10143453335,0
30388205260,0
20786306689,0
22655464749,0
30265140479,0
30697976951,0
30740102781,0
30037829003,0
30310719495,0
30610906983,0
17113280935,0
30737755197,0
22413833850,0
30740302761,0
30512664529,0
18881098334,0
30741076802,0
30610813171,0
30297674658,0
14461306502,0
30264707718,0
30265656701,0
30137568612,0
18354419443,0
30564861907,0
69200906,0
887444363,0
22446180899,0
30687840922,0
22665761599,0
30503773406,0
14387395892,0
30575183071,0
14760079735,0
30128892406,0
9129035422,0
1167839056,0
30268990770,0
30616155790,0
30271300060,0
30718318090,0
1276326196,0
30663647828,0
11672098347,0
30138198842,0
733629620,0
22832680654,0
30081968584,0
30508728017,0
30592961305,0
22505002886,0
22864299824,0
20901949556,0
30223640558,0
30737477296,0
4438884576,0
22903503869,0
30560226658,0
30265656702,0
30716039028,0
30608064210,0
30526715675,0
30697725272,0
22920435840,0
18059780116,0
30467346924,0
30429627216,0
30519370763,0
30739093721,0
30137524497,0
30720535119,0
30695691023,0
30492338849,0
2668030251,0
9393539241,0
30635726921,0
30536795653,0
13242169842,0
30699210314,0
30611095641,0
30631549724,0
30081528101,0
96728547,0
9994028217,0
30452707454,0
30331447564,0
30551096218,2
30575356422,0
30740332284,0
22561590994,0
30262334579,0
30645418748,0
30744590446,0
30519830708,0
19559446,0
30690941775,0
7195463142,0
30584465208,0
30632190818,0
30699596227,0
30336147779,0
20561629548,0
30560237127,0
3065816212,0
22665761594,0
30711911351,0
12989079999,0
30744100669,0
7204212085,0
20763549628,0
30315259206,0
30618449371,0
21838804627,0
30575376123,0
22903497230,0
30657354415,0
30327696752,0
20167376980,0
30127701519,0
30331824529,0
30350286961,0
22643675978,0
30739281775,0
208647507,0
30699636526,0
30718304854,0
401064106,0
30038764305,0
30699107842,0
30614464357,0
30444237425,0
30278214662,0
744381506,0
3486692753,0
30699607140,0
30739909979,0
30171796156,0
30688491824,0
30407664192,0
936183263,0
30603251266,0
22618053029,0
14781987053,0
22790827045,0
30718198751,0
30097124362,0
16933703021,0
30573253743,0
22912234499,0
30573818208,0
22844622385,0
30733482713,0
30708525922,0
30663995331,0
18592289238,0
30427437327,0
30738820534,0
30120915052,0
30451867865,0
30617153652,0
30279070323,0
30557455949,0
332500200,0
30644524153,0
22574614745,0
18817841822,0
988184408,0
22832596608,0
17224495014,0
30396297462,0
20836404026,0
8750025355,0
30035583277,0
372101494,0
30252606551,0
30731346808,0
30699465836,0
30665810940,0
22849748471,0
30548474487,0
30265798621,0
15214784236,0
30455557752,0
30517743453,0
30137470431,0
30697802744,0
14624563746,0
30733433437,0
17841460782,0
30699590849,0
30656595127,0
22414932296,0
30651729029,0
5467327846,0
30650143310,0
174123078,0
30231752057,0
30210813419,0
30359727277,0
1428828955,0
22396068331,0
30734269861,0
30708388698,0
21435012672,0
30264424954,0
30271636535,0
30619188959,0
21989645123,0
5709075622,0
30580856790,0
30727955385,0
30722925006,0
30109825679,0
30577466750,0
30739039039,0
10634213556,0
30724454461,0
22543314165,0
22413816038,0
6281847943,0
18356462011,0
30305435577,0
30734728448,0
30709735179,0
30697328697,0
30738960471,0
30699286058,0
30689007217,0
30046197905,0
30137477805,0
14094264197,0
30629068276,0
30731097466,0
30607332863,0
22862772844,0
30724603773,0
30230904477,0
30739713862,0
30728260211,0
30049240809,0
30688945248,0
30669033753,0
30650033577,0
30012150326,0
1157181464,0
30602639459,0
30264450895,0
30737581156,0
2845020490,0
30669039982,0
30343910155,0
22773182451,0
18584675456,0
22899483069,0
16426233795,0
30571085212,0
30282669014,0
8068292423,0
30310726915,0
941021824,0
30699460396,0
30740240668,0
1189938012,0
30465560756,0
13518434237,0
30306098271,0
30549457625,0
30698073958,0
1229370967,0
30341594685,0
30645261991,0
10345263742,0
22413529671,0
30740310873,0
30308963798,0
30337235707,0
30738963155,0
9126714053,0
30598692738,0
30643746337,0
30137482110,0
30713312479,0
242855190,0
30357111963,0
30734270760,0
30605454533,0
1958318699,0
1157901907,0
30330554660,0
30137479596,0
22420042428,0
30093652186,0
30704187229,0
12070838690,0
30699581663,0
30644930295,0
30575717889,0
30487942690,0
30660208730,0
30275929196,0
30282667972,0
22844627902,0
30280716015,0
3401872846,0
1271852724,0
30750290164,0
22485404304,0
30699607199,0
10107176741,0
20098125515,0
30176097287,0
30734675343,0
10634213567,0
947110148,0
22414932201,0
30733582226,0
30110390901,0
30042015887,0
30731166952,0
30743799149,0
30617590604,0
30114331307,0
30715374093,0
30643303028,0
60883878,0
30631305067,0
30737557303,0
30697854779,0
30604711648,0
30667320412,0
397777360,0
30310723061,0
30608592108,0
19084570205,0
18457810512,0
1042246748,0
1008300612,0
544738311,0
417289862,0
30666177659,0
316920310,0
30540334680,0
30137464447,0
30441745879,0
30709883822,0
14883183389,0
30731407417,0
30162330579,0
30605256010,0
30551329046,0
30217004123,0
30291741798,2
17116511336,0
30725407017,0
22848025857,0
30588909382,0
30747195415,0
14831130684,0
18310960596,0
22745556192,0
30699658999,0
30563827866,0
22903762228,0
30687490095,0
618303378,0
30162462378,0
30630089657,0
30752042137,0
30386094182,0
30731341707,0
30714634532,0
22020197117,0
30722054778,0
22727220399,0
30179160581,0
30584466073,0
30415063986,0
30507064040,0
30443504726,0
30456229492,0
30628477366,0
30216667091,0
30697579549,0
7049342152,0
30748028157,0
30737598825,0
30644182427,0
30716645061,0
30632090035,0
19554743349,0
30605374861,0
18914649994,0
30697821225,0
30739896116,0
30137473213,0
544088755,0
19058327481,0
30034628224,0
30661074755,0
30697385590,0
14782003164,0
30737382765,0
30690847647,0
401064296,0
30576275144,0
30266645941,0
30406242111,0
1020963208,0
30270302005,0
204909201,0
30650027921,0
30696513007,0
8689789262,0
30305787945,0
30014215773,0
30205422814,0
30300354284,0
30359715131,0
30457662678,0
30730221953,0
30688734352,0
30583574832,0
30266552600,0
30697395354,0
30172412570,0
30310726934,0
30137572140,0
3982214550,0
65620710,0
30223844943,0
30650031662,0
30210700862,0
30595274354,0
30334965305,1
30644603954,0
30699584829,0
30729683991,0
81958212,0
22392792244,0
30422098003,0
3608642811,0
30267796990,0
30598468844,0
22579404968,0
30137472012,0
1309179668,0
30327092146,0
30744579236,0
807199071,0
30577516135,0
30697669973,0
758566061,0
30210601584,0
30707192131,0
30743776479,0
7197157986,0
30137465364,0
30508753623,0
30137574958,0
30303392962,0
3205896145,0
30137499062,0
30137545936,0
30613790640,0
30743805448,0
22620324936,0
30623449786,0
30082118437,0
30139051885,0
15187076054,0
22649162019,0
72217938,0
22851285250,0
5537434218,0
30650044176,0
20538601532,0
30698084609,0
30738907487,0
30714210676,0
30029726828,0
30626980066,0
30624126421,0
30265297647,0
30734750885,0
5634516588,0
10990527575,0
30005418875,0
30583410323,0
1291114339,0
4666573473,0
30733118237,0
22660349164,0
30163567950,0
30662106251,0
30137474197,0
30436898962,0
30722962571,0
30239167897,0
30335456922,0
30660759432,0
30740018960,0
30210901893,0
30708994987,0
30664240926,0
30699282992,0
22381663271,0
8451604478,0
12419968416,0
22596630447,0
5467347098,0
21848684869,0
30255420066,0
30741152302,0
30323616542,0
30662306246,0
19574871268,0
13975773140,0
21839895179,0
30398768741,0
5709075621,0
30721282214,0
30697799943,0
30738657319,0
30496214371,0
30718099993,0
30080487732,0
30137480266,0
30419256332,0
30592234846,0
2954452664,0
30719433924,0
30434770218,0
30137592729,0
21578257415,0
22899601986,0
30739859784,0
30694826649,0
30718202130,0
30103571077,0
30584464273,0
30705401355,0
30748664923,0
30577421289,0
30739479439,0
30663607141,0
30303788662,0
30716886268,0
22812581449,0
1189031272,0
30739189760,0
1308467866,0
30621263646,0
30669019502,0
30663651446,0
22414932200,0
30266989674,0
30667005728,0
30665046726,0
1308458766,1
30210811471,0
30729075563,0
30326194729,0
30326985537,0
30117074783,0
30048438698,0
30599596234,0
14332901695,0
30748468633,0
30588992322,0
30137481197,0
30732531530,0
30333858914,0
22299303248,0
16611516310,0
30737329914,0
30707495609,0
30733198758,0
30697795338,0
30137474194,0
30606266938,0
30559377298,0
30279254168,0
30737561394,0
30702694325,0
30705676271,0
21348881529,0
22877828723,0
30434580952,0
12606323899,0
30575377469,0
30425046635,0
2992155501,0
22520788031,0
14913038423,0
30537995294,0
2826479,0
30301890227,0
30647105673,0
30686914541,0
30628547573,0
30625159988,0
30310713855,0
30702935616,0
30219171266,0
912915344,0
30080039525,0
30313195870,0
30665862953,0
30738493108,0
30732941584,0
30590031362,0
14781989509,0
30699290334,0
30742721254,0
30258273083,0
10141179516,0
30436824880,0
22594340305,0
30137470433,0
30575323379,0
11800510178,0
30710660721,0
22610147009,0
30595939810,0
30430211662,0
20543218067,0
30631467632,0
30726243328,0
30737525333,0
119929444,0
30665833368,0
16930900445,0
30708949552,0
30748023673,0
30745957188,0
30660923527,0
22575766170,0
1058066057,0
30306579912,0
30738347373,0
30643297497,0
1031685420,0
30738248497,0
30367514525,0
918921099,0
30538818571,0
30657037242,0
30737245358,0
30082148548,0
30699604781,0
30706933760,0
65853181,0
1978280450,0
30708708616,0
30733344749,0
275352520,0
30692362401,0
1046762509,0
19593306436,0
30718682962,0
30556399073,0
30523186646,0
30734217513,0
30012305301,0
30743257139,0
30746033606,0
30137491647,0
30266523672,0
30191207695,0
720184571,0
30683695026,0
30266563989,0
22523931843,1
30137461622,0
30698067646,0
30514017249,0
30424441940,0
30332224873,0
30617865091,0
30692770710,1
837170227,0
30630537430,0
30603312370,3
6929475639,0
30738824911,0
30313259468,0
30621579656,0
18273784288,0
30422007325,0
1971730398,0
30698782892,0
30259412450,0
30733069823,0
18217724726,0
10390215385,0
21662450135,0
